NAME,date,deaths
Missouri,2020-04-08T00:00:00Z,107
Nebraska,2020-04-08T00:00:00Z,12
Nevada,2020-04-08T00:00:00Z,72
New Hampshire,2020-04-08T00:00:00Z,13
New Jersey,2020-04-08T00:00:00Z,1974
New Mexico,2020-04-08T00:00:00Z,13
New York,2020-04-08T00:00:00Z,9879
North Carolina,2020-04-08T00:00:00Z,66
Ohio,2020-04-08T00:00:00Z,193
Oklahoma,2020-04-08T00:00:00Z,79
Oregon,2020-04-08T00:00:00Z,33
Pennsylvania,2020-04-08T00:00:00Z,318
Puerto Rico,2020-04-08T00:00:00Z,24
Rhode Island,2020-04-08T00:00:00Z,32
South Carolina,2020-04-08T00:00:00Z,51
Tennessee,2020-04-08T00:00:00Z,80
Texas,2020-04-08T00:00:00Z,221
Utah,2020-04-08T00:00:00Z,13
Vermont,2020-04-08T00:00:00Z,23
Virginia,2020-04-08T00:00:00Z,66
Washington,2020-04-08T00:00:00Z,426
Wisconsin,2020-04-08T00:00:00Z,140
United States,2020-04-09T00:00:00Z,21170
Alabama,2020-04-09T00:00:00Z,70
Arizona,2020-04-09T00:00:00Z,98
Arkansas,2020-04-09T00:00:00Z,21
California,2020-04-09T00:00:00Z,544
Colorado,2020-04-09T00:00:00Z,226
Connecticut,2020-04-09T00:00:00Z,380
